turn,animal_0,animal_1,animal_2,animal_3,animal_4,wins,losses,score
1,beaver,fish,otter,empty,empty,0,0,0.5
2,beaver,fish,otter,pig,beaver,1,0,1
3,beaver,fish,otter,pig,beaver,1,1,0
4,beaver,fish,otter,pig,beaver,1,2,0
5,beaver,fish,otter,pig,beaver,1,2,0.5
6,beaver,fish,otter,pig,beaver,1,3,0
7,beaver,fish,otter,pig,beaver,1,4,0